dataset,algorithm,split_accuracy,split_f1_macro,split_precision_macro,split_recall_macro,split_roc_auc,cv_accuracy,cv_f1_macro,cv_precision_macro,cv_recall_macro,cv_roc_auc,cv_f1_macro_std,split_mae,split_rmse,split_r2,cv_mae,cv_rmse,cv_r2,cv_rmse_std
obesity,GradientBoostingClassifier,0.9527186761229315,0.9525234542403379,0.9559541145353503,0.9519450810091206,0.996895547808111,0.9592629939609874,0.9581262311691386,0.9591732517087911,0.958317454454899,0.9980139013067394,0.007090865719513086,,,,,,,
obesity,RandomForestClassifier,0.9385342789598109,0.9387047689066366,0.944320011711316,0.9368448646773772,0.9945068740710884,0.9417352918109195,0.9408040300091116,0.9454151173433528,0.9404962125628578,0.9943629594814987,0.013015430484301515,,,,,,,
obesity,LogisticRegression,0.8747044917257684,0.8708276017821165,0.8707093309856606,0.8724210108446562,0.9836674426473347,0.8806225000840309,0.8767156785098491,0.8782266038144584,0.8784928154631955,0.9851488022050633,0.011610374596898877,,,,,,,
obesity,KNeighborsClassifier,0.8108747044917257,0.7956810230234669,0.809758369435542,0.8041363671905544,0.9768027157070858,0.8100366374239523,0.7876782298628063,0.8104919473961889,0.804393662990274,0.9684655906565658,0.021733872353162143,,,,,,,
diabetes,GradientBoostingClassifier,0.97225,0.8969288425793378,0.9739552052641357,0.8445017679202829,0.9796944230151077,0.97197,0.8953650830634056,0.9756827216930157,0.8415207328833173,0.9794611475409836,0.0014940082847333738,,,,,,,
diabetes,RandomForestClassifier,0.9087,0.7871385572484555,0.7350576832999673,0.9047540983606557,0.9759271295403408,0.91113,0.7912389705944124,0.7389678245298859,0.9067756348441016,0.9759103278688525,0.003961740913260526,,,,,,,
diabetes,LogisticRegression,0.8889,0.7568028439401004,0.7078378304491648,0.8909996785599485,0.9629435069109611,0.8873899999999999,0.7532147982353812,0.705111678975881,0.8851054323368693,0.9622001607200257,0.0033931510612983063,,,,,,,
diabetes,KNeighborsClassifier,0.9614,0.8491723469298601,0.9525897486297242,0.7889488910318225,0.9441412729026037,0.96165,0.8487457620553037,0.9594804208730074,0.7860973963355834,0.9449294214079075,0.0029070569408520645,,,,,,,
sleep,RandomForestClassifier,0.96,0.9352142110762801,0.9369747899159663,0.9347222222222222,0.9966327683615818,0.9063423423423422,0.8804266550212649,0.8838523110052201,0.8792682640357059,0.9238612534594888,0.035897626666998216,,,,,,,
sleep,GradientBoostingClassifier,0.9333333333333333,0.901219087425984,0.9021164021164022,0.9077020202020202,0.9883389830508474,0.8984504504504505,0.8706892111709905,0.8765291552248075,0.8662831806436457,0.9218894079728568,0.04437907815089521,,,,,,,
sleep,LogisticRegression,0.9333333333333333,0.9167328042328041,0.9317865105908584,0.9049242424242424,0.9845169795273676,0.8796756756756757,0.8586743513808139,0.8614417651902704,0.8590562602771905,0.9255983966961248,0.04330629440322844,,,,,,,
sleep,KNeighborsClassifier,0.9466666666666667,0.9281957744338044,0.9185185185185185,0.9404040404040405,0.9962339469048054,0.8796756756756757,0.8511099766711945,0.8495165000258258,0.8561622034296452,0.9248285144026778,0.0503838831936816,,,,,,,
calories,GradientBoostingRegressor,,,,,,,,,,,,2.015566184180434,2.7468268887706864,0.9981304638757355,2.077299370462809,2.876507681670455,0.9978725414635911,0.08147442142007605
calories,RandomForestRegressor,,,,,,,,,,,,2.261302985041069,3.3597921086649456,0.9972029766461309,2.3431175290859914,3.5355838860011537,0.9967855448797222,0.14701750578447392
calories,KNeighborsRegressor,,,,,,,,,,,,3.5866296296296296,4.873970926523115,0.9941137710592794,3.57302962962963,4.937136679505609,0.9937417937475163,0.05060059511511265
calories,LinearRegression,,,,,,,,,,,,8.441513553849703,11.48894014915288,0.9672937151257295,8.355214811388405,11.315035650708214,0.9671402283675838,0.15646955533935455
